Potência,Concessionária,Cliente,Nome do Projeto,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,Total,,Forecast 5+7,V3,Dif MWh,Produção Específica (MWh/MWp/ano)
1.128,EMS,NEXUS,Ventania II,189.47,194.28,214.77,202.63,189.07,171.58,181,217.01,204.19,181,203.55,207.27,2355.82,,2362.1,2432.1200000000003,0.002665738468982992,2088.492907801419
0.814,EMS,NEXUS,Ventania III,143.14,127.55,146.3,145.98,136.62,123.99,130.51,156.67,147.01,151.08,146.08,138.71,1693.6399999999999,,1699.7599999999998,1750.1699999999996,0.0036135188115538064,2080.6388206388206
3.758,EMS,NEXUS,Ventania IV,673.12,656.22,722.57,677.72,630.88,571.26,636.8,723.02,683.48,705.81,506.72,699.71,7887.3099999999995,,7897.109999999999,8138.29,0.0012425021965662975,2098.8052155401806
1.3286,COPEL,TELMO,Guaíra I,222.89,220.95,250.85,223.9,184.57,149.31,174.47,221.98,225.68,246.34,255.05,267.91,2643.9,,2695.08,2760.55,0.019357766935209186,1989.9894625922025
1.3286,COPEL,TELMO,Guaíra II,240.25,219.25,249.06,222.07,161.82,152.43,186.49,223.09,224.03,244.81,235.19,266.23,2624.72,,2687.9900000000007,2750.67,0.02410542838855223,1975.5532139093782
1.3286,COPEL,TELMO,Guaíra III,236.46,215.56,243.28,214.61,176.36,155.49,168.08,202.71,203.91,239.02,249.54,246.01,2551.0299999999997,,2603.06,2660.7099999999996,0.02039568331223074,1920.0888152942946
1.3286,COPEL,TELMO,Guaíra IV,240.91,219.67,233.08,202.15,179.29,147.77,182.54,218.35,207.76,243.6,254.17,265.75,2595.04,,2598.7799999999997,2671.32,0.001441210925457792,1953.213909378293
1.3286,COPEL,TELMO,Guaíra V,236.4,215.27,228.88,213.63,175.31,145.12,165.41,213.42,201.77,238.43,249.05,260.49,2543.1800000000003,,2580.7,2656.14,0.014753183022829575,1914.1803402077376
3.2,COPEL,NOVASOL,Rubi,580.53,551.56,540.41,494.83,430.16,405,453.81,542.34,546.16,591.3,648.55,626.06,6410.710000000001,,6480.9,6480.9,0.010948865258294083,2003.3468750000002
6.45,COELBA,SOLARA,Estrela,1221.4399999999998,1082.23,1170.71,945.01,854.2,765.23,841.54,969.19,1006.5500000000001,1136.45,1103.61,1168.63,12264.79,,12695,12695,0.035076833765600446,1901.5178294573643
3.056,Elektro SP,VERTA,Peroba 1,597.57,563.52,607.44,535.39,386.09,397.35,451.56,543.62,549.07,570.56,583.76,655.3,6441.2300000000005,,6482.08,6641.58,0.006341956427576623,2107.732329842932
1.526,Elektro SP,TELCO,Peroba 2,295.81,241.64,303.65,267.52,223.23,198.45,225.56,271.63,274.49,297.77,315.71,277.51,3192.9699999999993,,3236.46,3324.18,0.013620547640598168,2092.3787680209693
1.691,Elektro SP,TELCO,Peroba 3,305.75,287.19,311.49,277.32,234.99,196.45,223.08,285.36,285.58,283.87,309.61,336.35,3337.04,,3330.1,3419.9,-0.0020796873876249844,1973.412182140745
6.22,COPEL,NOVASOL,Aliança,1190.7,1103.7,1086.7,968.95,792.23,786.82,884.76,1064.1,1097.4,1186,1246.7,1242.4,12650.460000000001,,13041,13041,0.030871604668921027,2033.8360128617367
6.102,COPEL,VERTA,Tucano,1149.3,958.92,1139.4,1045.1,870.6,776.96,871.89,998.44,1036.9,1135.8,1207.4,1138.8,12329.509999999998,,12409.9,12885.09,0.006520129348206227,2020.5686660111435
1.31875,COPEL,TELMO,Planalto I,249.9,224.29,224.96,225.7,195.27,172.01,193.67,236.31,232.1,253,261.9,249.73,2718.84,,2658.9900000000002,2762.33,-0.02201306439510964,2061.6796208530805
1.365,COPEL,NEXUS,Planalto II,224.27,239.41,253.61,220.99,189.28,166.8,190.29,210.31,222.46,244.67,239.9,271.02,2673.0099999999998,,2722.24,2786.62,0.01841743951575192,1958.249084249084
1.31875,COPEL,TELMO,Planalto III,228.51,234.14,233.21,212.25,179.62,157.99,180.44,214.44,210.31,238.46,237.05,264.63,2591.05,,2582.6100000000006,2670.6899999999996,-0.003257366704617626,1964.777251184834
1.31875,COPEL,TELMO,Planalto IV,240.36,218.49,246.53,212.89,179.75,157.75,160.64,202.75,215.44,238.83,253.39,264.6,2591.4199999999996,,2573.8599999999997,2672.2400000000002,-0.006776207639055065,1965.057819905213
